OBJECTID,Elevation,name,SHAPESTArea,SHAPESTLength
137,783.56152343,Catholic Diocese oF Peoria,261.185249805539,80.380965181753
138,779.66967773,Catholic Diocese oF Peoria,171.674009307545,59.8176039230854
139,0,Judah Christian School,100.417954766119,40.0951441117315
140,743.15014648,Unity Baptist Church,6184.06300552807,352.116295490329
141,816.34002685,St Johns Catholic Church,45601.8208340978,1729.4115730774
142,732.49151611,Midwest Believers Church,15332.0177161984,668.467257772938
143,750.83679199,Muslim Reading Room,1154.88065639205,156.387282403246
144,0,Church of the Living God Pillar and Ground of the Truth,27539.9911388121,751.635392112931
145,745.50341796,Faith Baptist Church,19316.4166845147,871.972963261703
146,792.11950683,Judah Christian School,44818.0462065512,1466.7463858155
147,769.09527587,Judah Christian School,851.154877381285,117.374663973458
148,717.64550781,Seventh-Day Adventist School,3864.17581266417,248.827571425855
149,715.49139404,Seventh-Day Adventist School,894.044732078834,119.928897168275
150,765.10601806,Restoration Urban Ministries,7183.36433873911,347.862102995105
151,766.14447021,Restoration Urban Ministries,9003.11246740572,438.352856988642
152,764.52789306,Restoration Urban Ministries,8193.60204325619,423.96517152635
153,730.35864257,First Church of the Nazarene,1487.44668672915,166.356281956377
154,757.17321777,First Church of the Nazarene,8561.56844827156,459.321380522373
155,780.65759277,Salvation Army,14184.0157075212,759.515440559358
156,778.73327636,Glory Center Intl,9857.76312485966,401.943161794702
157,780.24993896,Glory Center Intl,8663.36846633084,440.259940243932
158,759.53112792,Church Of Scientology,910.171666106152,121.763320726846
159,741.92999267,Chabad Jewish Center,2401.08439266536,214.392388343676
160,746.85949707,Center Of Hope Church,1092.02074060866,140.627759880803
161,743.61376953,Center Of Hope Church,282.563480868436,69.0142931314043
162,744.59521484,CATHOLIC WORKER HOUSE OF ST JUDE,622.653089488205,99.9059926538586
163,746.265625,CATHOLIC WORKER HOUSE OF ST JUDE,1468.45167772619,154.51317568089
164,758.29998779,CATHOLIC WORKER HOUSE OF ST JUDE,1756.78146578073,174.21367696691
